team,color,logo
1. FC Koeln,#DE77AE,http://upload.wikimedia.org/wikipedia/en/7/71/Fc_cologne.png
1. FSV Mainz 05,#FDBF6F,http://upload.wikimedia.org/wikipedia/en/5/5b/FSV_Mainz_05.png
Bayer Leverkusen,#FF0000,http://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg
Bayern Munich,#E31A1C,http://upload.wikimedia.org/wikipedia/commons/c/c5/Logo_FC_Bayern_M%C3%BCnchen.svg
Borussia Dortmund,#F9E715,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
Borussia Moenchengladbach,#000000,http://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_M%C3%B6nchengladbach_logo.svg
Eintracht Frankfurt,#9E0142,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg
FC Augsburg,#76111A,http://upload.wikimedia.org/wikipedia/en/c/c5/FC_Augsburg_logo.svg
Hamburger SV,#7A0177,http://upload.wikimedia.org/wikipedia/commons/6/66/HSV-Logo.svg
Hannover 96,#179D33,http://upload.wikimedia.org/wikipedia/commons/5/50/Hannover_96.png
Hertha BSC,#6BAED6,http://upload.wikimedia.org/wikipedia/en/5/5e/Hertha_Berlin_SC.png
SC Freiburg,#7C7C7C,http://upload.wikimedia.org/wikipedia/en/7/7b/SC_Freiburg.png
SC Paderborn,#3182BD,http://upload.wikimedia.org/wikipedia/en/1/14/Sc_paderborn_07.png
Schalke 04,#0060A9,http://upload.wikimedia.org/wikipedia/en/6/6d/FC_Schalke_04_Logo.svg
SV Werder Bremen,#1D9053,http://upload.wikimedia.org/wikipedia/commons/b/be/SV-Werder-Bremen-Logo.svg
TSG 1899 Hoffenheim,#08306B,http://upload.wikimedia.org/wikipedia/en/8/8b/TSG_1899_Hoffenheim_logo.svg
VfB Stuttgart,#FF7F00,http://upload.wikimedia.org/wikipedia/commons/e/eb/VfB_Stuttgart_1893_Logo.svg
VfL Wolfsburg,#449C2B,http://upload.wikimedia.org/wikipedia/en/8/88/Vfl_Wolfsburg.svg
